,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,rating_numerator,rating_denominator,name,retweet_count,favorite_count,breed,stage
9,890240255349198849,0,0,2017-07-26 15:59:51,Twitter for iPhone,14,10,Cassie,7187,31245,Pembroke,doggo
12,889665388333682689,0,0,2017-07-25 01:55:32,Twitter for iPhone,13,10,None,9778,47109,Pembroke,puppo
14,889531135344209921,0,0,2017-07-24 17:02:04,Twitter for iPhone,13,10,Stuart,2191,14795,golden_retriever,puppo
28,886366144734445568,0,0,2017-07-15 23:25:31,Twitter for iPhone,12,10,Roscoe,3120,20750,French_bulldog,pupper
38,884162670584377345,0,0,2017-07-09 21:29:42,Twitter for iPhone,12,10,Yogi,2910,19932,German_shepherd,doggo
41,883360690899218434,0,0,2017-07-07 16:22:55,Twitter for iPhone,13,10,Grizzwald,3609,22208,chow,floofer
44,882762694511734784,0,0,2017-07-06 00:46:41,Twitter for iPhone,12,10,Gus,4784,27694,Labrador_retriever,pupper
63,878776093423087618,0,0,2017-06-25 00:45:22,Twitter for iPhone,13,10,Snoopy,4037,19018,Italian_greyhound,puppo
71,876838120628539392,0,0,2017-06-19 16:24:33,Twitter for iPhone,12,10,Ginger,3268,20300,bloodhound,pupper
78,874296783580663808,0,0,2017-06-12 16:06:11,Twitter for iPhone,13,10,Jed,4029,25572,cocker_spaniel,pupper
80,874012996292530176,0,0,2017-06-11 21:18:31,Twitter for iPhone,13,10,Sebastian,10216,33933,Cardigan,puppo
82,873213775632977920,0,0,2017-06-09 16:22:42,Twitter for iPhone,12,10,Sierra,1559,7107,vizsla,pupper
83,872967104147763200,0,0,2017-06-09 00:02:31,Twitter for iPhone,12,10,None,5328,26873,Labrador_retriever,doggo
90,871762521631449091,0,0,2017-06-05 16:15:56,Twitter for iPhone,12,10,Rover,3434,19958,Labrador_retriever,pupper
91,871515927908634625,0,0,2017-06-04 23:56:03,Twitter for iPhone,12,10,Napolean,3417,19912,komondor,doggo
100,869596645499047938,0,0,2017-05-30 16:49:31,Twitter for iPhone,12,10,Scout,3119,15798,Chihuahua,doggo
107,867421006826221569,0,0,2017-05-24 16:44:18,Twitter for iPhone,12,10,Shikha,2499,15986,Eskimo_dog,puppo
111,866450705531457537,0,0,2017-05-22 00:28:40,Twitter for iPhone,13,10,Jamesy,35284,121529,French_bulldog,pupper
141,858843525470990336,0,0,2017-05-01 00:40:27,Twitter for iPhone,13,10,None,3534,15625,golden_retriever,doggo
152,855851453814013952,0,0,2017-04-22 18:31:02,Twitter for iPhone,13,10,None,18185,46033,flat-coated_retriever,puppo
157,854120357044912130,0,0,2017-04-17 23:52:16,Twitter for iPhone,14,10,None,7723,32520,black-and-tan_coonhound,pupper
176,850019790995546112,0,0,2017-04-06 16:18:05,Twitter for iPhone,12,10,Boomer,5111,21023,Shetland_sheepdog,pupper
192,846514051647705089,0,0,2017-03-28 00:07:32,Twitter for iPhone,13,10,Barney,12211,46175,golden_retriever,doggo
197,845397057150107648,0,0,2017-03-24 22:08:59,Twitter for iPhone,13,10,Mimosa,1905,7910,Dandie_Dinmont,doggo
198,845306882940190720,0,0,2017-03-24 16:10:40,Twitter for iPhone,12,10,Pickles,5687,24166,Irish_water_spaniel,pupper
230,837820167694528512,0,0,2017-03-04 00:21:08,Twitter for iPhone,12,10,None,8375,35718,golden_retriever,pupper
234,837110210464448512,0,0,2017-03-02 01:20:01,Twitter for iPhone,13,10,Clark,2550,16743,Siberian_husky,pupper
236,836753516572119041,0,0,2017-03-01 01:42:39,Twitter for iPhone,12,10,Meera,4925,20099,schipperke,doggo
248,834574053763584002,0,0,2017-02-23 01:22:14,Twitter for iPhone,13,10,None,2710,14324,golden_retriever,doggo
257,833124694597443584,0,0,2017-02-19 01:23:00,Twitter for iPhone,12,10,Gidget,5179,21166,Cardigan,pupper
258,832998151111966721,0,0,2017-02-18 17:00:10,Twitter for iPhone,13,10,Rhino,2372,13934,boxer,doggo
264,832273440279240704,0,0,2017-02-16 17:00:25,Twitter for iPhone,14,10,Smiley,2502,11860,Pembroke,doggo
267,832032802820481025,0,0,2017-02-16 01:04:13,Twitter for iPhone,12,10,Miguel,4976,18705,whippet,doggo
268,831939777352105988,0,0,2017-02-15 18:54:34,Twitter for iPhone,12,10,Emanuel,6576,25168,Pomeranian,doggo
273,831322785565769729,0,0,2017-02-14 02:02:51,Twitter for iPhone,12,10,Pete,1642,9679,Old_English_sheepdog,doggo
274,831315979191906304,0,0,2017-02-14 01:35:49,Twitter Web Client,13,10,None,1197,6862,briard,pupper
283,829449946868879360,0,0,2017-02-08 22:00:52,Twitter for iPhone,11,10,None,2184,11001,Labrador_retriever,doggo
284,829374341691346946,0,0,2017-02-08 17:00:26,Twitter for iPhone,13,10,Astrid,10014,36393,Staffordshire_bullterrier,doggo
292,828381636999917570,0,0,2017-02-05 23:15:47,Twitter for iPhone,14,10,Doobert,2401,13289,Bedlington_terrier,doggo
297,827933404142436356,0,0,2017-02-04 17:34:40,Twitter for iPhone,12,10,Kona,5629,21202,German_shepherd,pupper
302,826958653328592898,0,0,2017-02-02 01:01:21,Twitter for iPhone,12,10,Loki,5398,22738,golden_retriever,doggo
303,826848821049180160,0,0,2017-02-01 17:44:55,Twitter for iPhone,13,10,Cupid,11018,38410,Great_Pyrenees,doggo
305,826476773533745153,0,0,2017-01-31 17:06:32,Twitter for iPhone,12,10,Pilot,4531,19415,German_shepherd,doggo
307,826204788643753985,0,0,2017-01-30 23:05:46,Twitter for iPhone,13,10,None,1006,5151,Labrador_retriever,doggo
311,825535076884762624,0,0,2017-01-29 02:44:34,Twitter for iPhone,14,10,None,18571,54939,Rottweiler,puppo
313,825026590719483904,0,0,2017-01-27 17:04:02,Twitter for iPhone,12,10,Pablo,1377,6703,Eskimo_dog,puppo
317,824325613288833024,0,0,2017-01-25 18:38:36,Twitter for iPhone,13,10,None,11234,12444,Pembroke,pupper
325,822872901745569793,0,0,2017-01-21 18:26:02,Twitter for iPhone,13,10,None,47467,139921,Lakeland_terrier,puppo
330,822462944365645825,0,0,2017-01-20 15:17:01,Twitter for iPhone,14,10,Gabe,15864,30110,Pomeranian,pupper
334,821765923262631936,0,0,2017-01-18 17:07:18,Twitter for iPhone,13,10,Duchess,1808,8904,golden_retriever,doggo
336,821407182352777218,0,0,2017-01-17 17:21:47,Twitter for iPhone,14,10,Sundance,4710,12457,Irish_setter,doggo
338,821107785811234820,0,0,2017-01-16 21:32:06,Twitter for iPhone,11,10,None,2308,10148,Pomeranian,doggo
345,819952236453363712,0,0,2017-01-13 17:00:21,Twitter for iPhone,13,10,Oliver,1283,5634,American_Staffordshire_terrier,puppo
354,819004803107983360,0,0,2017-01-11 02:15:36,Twitter for iPhone,14,10,Bo,39897,91870,standard_poodle,doggo
362,817777686764523521,0,0,2017-01-07 16:59:28,Twitter for iPhone,13,10,Dido,2908,11352,curly-coated_retriever,pupper
